GeneID,s21004-1-1_kw210913_bmud_slee_01,s21004-1-2_kw210913_bmud_slee_02,s21004-1-3_kw210913_bmud_slee_03,s21004-1-4_kw210913_bmud_slee_04,s21004-1-5_kw210913_bmud_slee_05,s21004-1-6_kw210913_bmud_slee_06,s21004-2-1_kw210913_wout_slee_01,s21004-2-2_kw210913_wout_slee_02,s21004-2-3_kw210913_wout_slee_03,s21004-2-4_kw210913_wout_slee_04,s21004-2-5_kw210913_wout_slee_05,s21004-2-6_kw210913_wout_slee_06,s21004-5-1_kw210929_kwout_1_slee_01,s21004-5-2_kw210929_kwout_1_slee_02,s21004-5-3_kw210929_kwout_2_slee_01,s21004-5-4_kw210929_kwout_2_slee_02,s21004-5-5_kw210929_kwout_3_slee_01,s21004-5-6_kw210929_kwout_3_slee_02,s2215_1_kw2209_bmud_slee_1,s2215_1_kw2209_bmud_slee_2,s2215_1_kw2209_bmud_slee_3,s2215_1_kw2209_bmud_slee_4,s2215_1_kw2209_bmud_slee_5,s2215_1_kw2209_bmud_slee_6,s2215_2_kw2209_wout1_slee_1,s2215_2_kw2209_wout1_slee_2,s2215_2_kw2209_wout1_slee_3,s2215_2_kw2209_wout1_slee_4,s2215_2_kw2209_wout1_slee_5,s2215_2_kw2209_wout1_slee_6,s2215_3_kw2209_wout2_far_slee_1,s2215_3_kw2209_wout2_far_slee_2,s2215_3_kw2209_wout2_far_slee_3,s2215_3_kw2209_wout2_far_slee_4,s2215_3_kw2209_wout2_far_slee_5,s2215_3_kw2209_wout2_far_slee_6,s2212_nt_bmud_slee_1,s2212_nt_bmud_slee_2,s2212_nt_bmud_slee_3,s2212_nt_bmud_slee_4,s2212_nt_bmud_slee_5,s2212_nt_bmud_slee_6,s2212_nt_wout_slee_1,s2212_nt_wout_slee_2,s2212_nt_wout_slee_3,s2212_nt_wout_slee_4,s2212_nt_wout_slee_5,s2212_nt_wout_slee_6,s2312-1-nt230808-bmud-1,s2312-1-nt230808-bmud-2,s2312-1-nt230808-bmud-3,s2312-1-nt230808-bmud-4,s2312-1-nt230808-bmud-5,s2312-1-nt230808-bmud-6,s2312-2-nt230808-wout-1,s2312-2-nt230808-wout-2,s2312-2-nt230808-wout-3,s2312-2-nt230808-wout-4,s2312-2-nt230808-wout-5,s2312-2-nt230808-wout-6,s2213_tyo_bmud_slee_1,s2213_tyo_bmud_slee_2,s2213_tyo_bmud_slee_3,s2213_tyo_bmud_slee_4,s2213_tyo_bmud_slee_5,s2213_tyo_bmud_slee_6,s2213_tyo_wout_slee_1,s2213_tyo_wout_slee_2,s2213_tyo_wout_slee_3,s2213_tyo_wout_slee_4,s2213_tyo_wout_slee_5,s2213_tyo_wout_slee_6,s2214_ksz_bmud_slee_1,s2214_ksz_bmud_slee_2,s2214_ksz_bmud_slee_3,s2214_ksz_bmud_slee_4,s2214_ksz_bmud_slee_5,s2214_ksz_bmud_slee_6,s2214_ksz_wout_slee_1,s2214_ksz_wout_slee_2,s2214_ksz_wout_slee_3,s2214_ksz_wout_slee_4,s2214_ksz_wout_slee_5,s2214_ksz_wout_slee_6,s2306_hkt_bmud_1,s2306_hkt_bmud_2,s2306_hkt_bmud_3,s2306_hkt_bmud_4,s2306_hkt_bmud_5,s2306_hkt_bmud_6,s2306_hkt_wout_1,s2306_hkt_wout_2,s2306_hkt_wout_3,s2306_hkt_wout_4,s2306_hkt_wout_5,s2306_hkt_wout_6,s2311-bay1yng-okyJuly23-bmud-1,s2311-bay1yng-okyJuly23-bmud-2,s2311-bay1yng-okyJuly23-bmud-3,s2311-bay1yng-okyJuly23-bmud-4,s2311-bay1yng-okyJuly23-bmud-5,s2311-bay1yng-okyJuly23-bmud-6,s2311-bay1yng-okyJuly23-wout-1,s2311-bay1yng-okyJuly23-wout-2,s2311-bay1yng-okyJuly23-wout-3,s2311-bay1yng-okyJuly23-wout-4,s2311-bay1yng-okyJuly23-wout-5,s2311-bay1yng-okyJuly23-wout-6,s2311-bay2gej-okyJuly23-bmud-1,s2311-bay2gej-okyJuly23-bmud-2,s2311-bay2gej-okyJuly23-bmud-3,s2311-bay2gej-okyJuly23-bmud-4,s2311-bay2gej-okyJuly23-bmud-5,s2311-bay2gej-okyJuly23-bmud-6,s2311-bay2gej-okyJuly23-wout-1,s2311-bay2gej-okyJuly23-wout-2,s2311-bay2gej-okyJuly23-wout-3,s2311-bay2gej-okyJuly23-wout-4,s2311-bay2gej-okyJuly23-wout-5,s2311-bay2gej-okyJuly23-wout-6,s2314-1-ktk230802-bmud-1,s2314-1-ktk230802-bmud-2,s2314-1-ktk230802-bmud-3,s2314-1-ktk230802-bmud-4,s2314-1-ktk230802-bmud-5,s2314-1-ktk230802-bmud-6,s2314-2-ktk230802-wout-1,s2314-2-ktk230802-wout-2,s2314-2-ktk230802-wout-3,s2314-2-ktk230802-wout-4,s2314-2-ktk230802-wout-5,s2314-2-ktk230802-wout-6
1CMET2_PWY,20171.31436,18626.41555,20376.02254,14508.31198,14703.24739,16944.1415,26764.41168,16143.42522,9887.321676,14713.96175,20894.58572,16680.18385,29707.07386,22507.38626,36537.34307,35251.10141,23944.44747,20957.77453,7419.372411,9168.151943,9020.380513,6320.213748,7862.575818,8251.015957,8328.136473,8168.576268,14727.71477,19128.22609,11457.48855,17897.37735,9074.188982,6633.342072,7946.260748,8417.221989,6780.346507,9640.060397,11502.3004,9133.294,7571.518185,5503.263179,7208.325324,7265.023054,8919.396556,7668.163993,9384.581473,8171.929164,10352.64611,11502.92025,9776.072353,10882.17807,9878.257549,11902.17053,7442.744767,4483.682217,15577.67851,17136.6769,16411.75571,18246.12723,15928.55148,14974.31545,10830.96715,9655.154558,11222.64245,14077.05235,12682.15279,8802.475778,8474.576467,8488.920217,8888.741673,8156.195372,8671.032652,9954.594294,6939.490178,6540.273299,7228.701505,5592.866513,6124.015819,6799.486965,9308.265444,4862.013489,6269.83294,6319.729056,5968.43235,6023.213063,65453.95174,98092.98444,69269.4416,61054.2356,72198.95033,71205.16091,111616.5698,83243.83205,87729.79166,63908.52572,68873.05561,76430.3602,13695.60866,9277.645746,13493.65764,13160.13953,14408.68815,17772.80746,15118.53926,17155.05382,10625.78401,12400.79445,9505.169632,9525.995487,12150.44863,11263.8272,12127.13916,8730.095985,11433.60353,8977.441081,13185.30628,15550.53139,13806.04085,15836.14811,16973.3088,17015.643,18989.19005,10038.09622,17240.82995,15625.48341,18336.11039,12129.75855,16189.51929,14481.21213,13236.64546,7697.729878,14009.90273,15892.10741
3_HYDROXYPHENYLACETATE_DEGRADATION_PWY,308.3428426,304.5676366,337.0153495,194.7546283,172.0496648,367.6281099,408.5579604,328.8205884,205.8140665,249.8807474,328.7321091,192.4466118,1170.409597,280.3892442,999.0831298,645.7596286,385.0014105,613.4145735,226.3921596,260.1775492,119.4812955,61.65584665,193.9948261,72.70886764,68.78696231,211.7338328,135.4635921,345.5181156,95.2963421,346.0019311,102.7167068,25.76767935,93.1643826,66.86652252,62.6833049,75.52376709,37.35243691,23.88868655,58.77737704,30.63503632,35.38206825,4.008635808,77.7577898,55.82471594,54.11650865,231.9256261,105.3390072,167.9188473,23.74383922,65.27039194,20.39745935,38.95905644,30.8209671,12.68786298,65.31690823,61.29816291,24.39497472,49.82745412,36.02377358,39.33848196,67.11102553,65.97468651,72.68311109,75.81986974,96.14573766,65.84684385,38.04249516,39.59944053,92.14870769,111.1500164,50.53047529,44.17565909,6.295150579,51.73564887,39.33044384,3.368083576,50.04995911,36.91335783,21.78950138,13.29081265,4.201115167,18.67326509,8.930552578,19.45812333,344.6620607,1107.296885,461.9822703,355.430984,244.7608946,385.9120106,2251.139427,900.1452839,1556.742396,686.0044318,339.9996281,757.9407127,9.735798963,29.27299534,4.51257998,3.911490551,31.16874465,38.22344547,25.07660431,41.88221374,20.78402722,3.280960289,6.786277597,22.01323514,6.518130634,17.32302432,33.98282622,19.72952495,32.14530672,22.7848084,13.37206467,81.63522232,33.23680049,53.02281835,34.7343303,33.21315585,112.9898731,104.1102564,219.6923613,128.1649085,130.4099227,226.4773229,33.19108293,46.36766898,17.03953506,44.43011354,66.17469968,31.7991669
AEROBACTINSYN_PWY,0,4.324805339,20.51127575,16.52571592,0,0,3.931034483,9.940425532,0,5.126213592,13.86600496,0,0,6.486486486,0,18.54544442,67.17350633,34.69323797,0,0,4.866359447,12.01970443,2.571428571,1.971428571,2.461538462,164.6106557,0,0,0,0,25.26182965,30.82517483,6.233766234,15.82608696,0,24.59130435,5.098901099,0,0,0,2.588235294,0,0,0,4.869565217,0,8.228571429,7.396226415,8.630627722,5.065023268,11.53398058,0,9.489655172,0,32.04878049,54.97059995,57.55078879,28.15884477,38.85714286,17.05882353,0,6,0,0,4.705882353,0,0,0,0,0,0,0,0,2.605714286,0,0,0,0,7.418181818,0,0,0,0,0,51.57751788,0,90.32497159,146.7060383,50.29902874,63.0079828,68.04302204,150.5256065,131.4201813,130.5360789,89.95682221,50.72404138,0,0,9.536423841,3.157894737,0,3.8,36.06557377,30.05626598,0,0,0,0,5.909090909,4.930741649,8.4,0,8.03960396,18.01941748,29.61127181,21.48291964,0,25.66666667,23.94820144,30.37552353,91.02813027,52.84512853,67.62993298,68.60087331,20.51396648,71.88118812,11.86086957,6.428571429,13.1588785,3,0,0
ALL_CHORISMATE_PWY,3155.167714,3099.58227,3206.873631,2576.625192,1421.869523,1948.866982,3736.825365,2389.752387,1041.521158,1767.822073,2473.253258,1866.039332,8557.417451,3084.211582,9588.996772,6632.267582,4636.212222,5304.645836,1718.899416,1604.233432,1818.210142,1662.021302,1429.112925,1821.740143,1937.43366,2648.79444,3701.619092,4713.759297,1381.142164,5018.707471,2200.891937,1770.508636,1811.265267,1956.597614,1501.584883,2118.300049,2276.476276,1168.751192,1401.602258,916.1205119,1371.002024,1124.073064,1557.932869,1074.995231,2277.473872,1920.586305,2354.944089,2193.169241,1966.139231,1641.268115,1212.42067,2319.116936,1495.799972,590.6430366,1720.411921,3184.88712,1470.762447,3153.44491,2199.421625,2801.878253,2465.832896,2288.8684,1890.898304,2632.965993,2285.462287,1335.423889,2171.363308,1829.267828,2057.750736,1902.27053,1968.666585,2472.443048,133.3906855,829.6903057,1712.823065,1385.702316,1022.302579,1528.399955,324.1294329,246.0883035,999.279623,852.4612485,1153.036626,95.66728363,7944.583424,18885.89554,13025.47459,11952.13996,9179.577067,11948.10887,26102.98782,18641.18651,18228.37663,12004.8863,12018.01889,15305.73045,1621.123375,823.1055786,1587.15654,1513.916791,1506.897745,1925.641338,915.4854302,1129.00927,924.3951619,961.4939579,981.5934795,565.7689517,984.8796434,956.0494632,990.8913946,667.7113669,644.1015058,292.0753576,964.3482104,2314.331327,1353.10144,850.8506809,1142.508831,734.5694027,9583.962474,5382.866407,8085.992993,6936.833731,7289.912819,4337.026311,4432.862911,4868.817496,2994.155555,1814.049093,4019.789749,3893.526537
ANAEROFRUCAT_PWY,18617.18035,16311.68772,16860.94917,12041.0005,12969.15215,14666.1319,21493.59601,13622.95578,8266.45943,11551.22318,16479.47268,12493.42915,39072.5846,21976.508,38282.79657,34610.96083,21935.4642,27306.17165,5767.555301,7043.512502,7143.81916,5123.352051,6244.675299,6617.176939,8211.638449,8020.298139,12193.93773,14705.44783,16894.13201,13080.54184,8391.594171,6136.954231,7370.176774,7794.633457,5639.871527,8268.437579,9823.351298,7907.321233,6854.920544,4492.254113,5988.424844,6075.864747,7885.709397,6502.877366,8325.379894,7444.861319,9128.133496,10403.68591,8651.029744,9626.593994,7357.113938,9182.734084,5933.061018,4022.714081,13794.08783,14786.55835,12663.42447,14229.75302,12567.3209,12501.5983,8881.708173,7255.939498,8586.960558,10969.66883,9703.927892,7097.24029,6904.404815,6766.24107,7379.300139,6598.138696,6580.969623,7766.350094,6014.622106,5379.233616,6055.970431,4975.476807,5562.373034,6392.586513,8227.4205,4449.475399,5917.308218,5728.983413,5467.780047,5535.570609,62099.70253,88813.34163,57018.46255,51839.24787,65637.06787,64989.06321,90257.44973,66366.83538,66894.2281,47729.82126,55960.64265,60938.72673,11714.08055,8048.542617,11978.36683,11487.24431,11992.36789,15870.08811,14133.48509,15015.5555,9673.946897,10729.17674,8026.996424,7921.499644,10198.52405,9807.209112,10402.48138,7608.757646,9719.855041,7242.321085,11476.55347,14836.58213,11194.1349,13502.5977,14646.78024,14600.29378,14869.81067,7070.37252,12800.85982,12008.71874,14591.22701,6982.979173,12375.18983,12352.32759,10707.29402,5955.201097,11246.73808,13129.61402
ANAGLYCOLYSIS_PWY,27915.31381,25129.57559,27257.82705,19092.92771,19951.96128,22889.97141,36159.02899,22051.3093,13228.1268,19562.80558,27984.16474,22151.74708,39983.82894,31594.28836,49455.19787,45054.65121,31552.66066,27530.13914,8951.405388,11162.22974,11629.09499,8019.89426,9877.049168,10147.19653,11393.23049,11307.48248,18688.44751,24586.97324,16376.24446,22507.55643,11708.38028,8367.068103,10694.38368,11168.29068,8335.678397,12051.90844,14842.93533,11767.31854,9892.239654,6912.108198,9068.159897,9486.352657,11655.44265,9946.697401,12717.08807,10803.34068,13808.58608,15282.05617,12957.32648,14543.85459,12894.18973,16627.28445,9615.117483,5621.960156,21233.74895,24149.90524,22854.38672,25033.03478,22048.39824,20870.69562,13774.9995,12504.51583,13746.72607,17710.63576,16123.29187,11222.82319,10591.72749,10811.94801,11375.73278,10204.06178,10856.19625,12569.53374,9193.596828,8475.87447,9423.297213,7695.865591,7984.942548,9099.402265,12614.00267,6711.29675,9277.431685,8781.185922,8180.789961,8470.91743,90557.09164,133483.6435,93555.19095,84062.66463,102933.2377,100644.0818,149932.5029,115461.7489,117810.9422,87271.38533,98783.71196,107861.9285,19636.19958,13317.81381,19512.2861,19025.86682,20932.18252,25901.68172,21700.33918,23682.76118,16287.92191,18231.40417,14292.48198,14251.44833,16679.26987,15824.74801,16996.86747,12178.84945,15403.89349,12086.02372,18837.00885,22841.56429,18747.97895,22494.06587,23927.86641,23702.46468,23402.8829,11987.85034,20723.80033,18686.67566,22329.49271,14709.42742,21970.5043,19541.82334,18523.04451,10833.56154,19557.13667,22734.88624
ARG+POLYAMINE_SYN,6064.740153,5645.824637,6294.570954,4505.307866,4457.952132,5069.573703,7088.376809,5059.855087,2742.905772,3756.061156,5130.965509,4383.704567,10860.8382,9694.685865,15857.9968,15064.29341,10787.63517,8326.126138,2719.571367,3094.333212,2907.884744,2401.947095,2781.161227,2968.71919,3804.487894,4224.535539,7235.327052,9366.729517,4498.598508,8961.601516,4704.166466,3559.221918,4574.80193,4240.569905,3280.640632,4856.640336,4382.297219,3514.958098,2753.232398,2023.813622,2938.126655,2623.214814,3642.015976,2995.9754,4241.038768,3444.264029,5036.857866,4679.669972,4532.112122,5116.987041,4523.94615,5396.134414,3531.310212,1623.058438,7801.201746,8815.059894,8608.207316,9039.029941,8138.386291,7543.886526,3891.973242,3225.075395,4169.902638,5612.895863,4411.148574,3081.779089,3163.883404,2946.147199,3459.905406,3359.382974,3196.135334,3851.632317,3472.369888,3065.189521,3285.631696,2862.889847,3052.206446,3385.995525,4825.62088,2357.010905,3129.015123,3490.466115,3075.634778,2853.171319,26693.58357,57578.24617,32661.59178,27740.98887,31781.51288,32807.18307,44328.46446,31053.79479,32283.20282,21823.34953,24025.28793,26778.944,5959.604926,4007.30249,5575.207766,5504.047602,5823.468201,7037.43496,6538.668812,6944.22659,4515.3572,4835.073128,3983.632792,3484.503299,5224.901806,4602.142418,4917.658838,3893.130018,4718.331069,3561.380584,5215.959336,6309.916448,5204.714091,5751.335953,6486.445121,6530.86885,8407.901024,4714.219197,8001.076862,7512.753251,8293.294156,4395.393557,6938.021288,6966.552292,5845.093643,3477.95599,6462.78947,7501.273749
ARGDEG_PWY,13.12049169,3.91604001,11.72231661,3.915819577,0.839761453,1.119591846,14.24364476,13.02747662,5.584978126,4.194372294,0,0,1505.333094,11.7024491,177.5239321,66.88615853,10.21286693,425.9418934,0.559850151,2.238236452,6.979644053,1.678563336,3.697151797,1.399098232,1.394703001,1.116607043,12.46892859,29.08510189,38.23568579,15.06607091,3.450624058,24.62865896,8.491051785,8.514710465,5.555582534,11.85500762,5.006678211,5.839874087,3.325616022,1.674991122,5.467153976,5.002075696,3.616352592,4.174855693,1.956033245,2.237971181,4.182528702,3.629163534,2.513991316,3.070884785,3.726655259,20.14699657,0,1.626892945,5.580113414,9.740180116,10.26404176,17.9559873,11.36732262,11.04911012,3.902611031,5.57926219,7.95641732,5.840429924,8.300159612,3.075707845,4.246768668,0.55966631,3.349531267,3.446498358,3.0660936,3.066372948,2.779616033,4.456968143,1.677706878,2.773325944,2.791890786,5.565286931,7.510048542,0.559635689,3.899969642,0,2.233235119,3.893569263,25.31040672,94.67512767,90.0306946,49.69878693,25.9242837,28.44995117,283.7323846,120.4413835,93.74485982,99.00395328,89.76724526,99.07946702,11.89845559,0.832002912,3.880677553,5.1359564,6.641798664,1.397180874,3.61928964,2.789230154,3.843934835,2.764836814,8.370168692,8.056437525,6.12746612,2.768550197,2.503894076,1.114423574,2.502707289,3.04859777,6.122344675,12.73470406,10.2003916,5.238309936,7.468467871,29.87204141,12.10560978,13.23624261,13.13112498,7.925931971,9.586022955,6.693802043,10.24343427,11.31243952,4.739737392,10.84586165,12.2289156,5.018917974
ARGORNPROST_PWY,5542.971979,4987.308276,4994.27392,3515.898308,3439.704332,4071.43784,5621.14722,3689.004922,2182.822255,3150.145625,4172.996607,3026.441822,11474.78212,4924.78889,10326.7351,9711.427351,5257.452519,7833.507023,1843.287034,2314.447528,2216.12767,1680.820944,1693.613506,1821.970894,1739.197497,2105.087869,2282.613346,3226.853425,2222.32945,2602.737741,2119.8751,1619.574201,1978.287007,2130.907252,1551.434783,2193.612037,2168.584307,1916.153324,1683.169381,988.2149001,1457.142218,1418.456881,1776.493605,1707.751669,1848.285088,2022.352781,2124.937768,2612.901767,1716.885989,1941.422623,1430.324122,1628.881654,1020.678272,514.8794922,2558.866747,2682.847557,2197.506704,2427.887277,2146.329711,2293.094292,2191.904946,2086.309399,2774.456373,3008.442778,2442.951611,2401.119868,1722.178514,1705.870671,1643.459896,1783.94161,1598.170316,1913.232989,1098.634943,1232.112629,1439.575108,878.7054821,1067.553531,1258.047409,1218.825541,716.7911497,987.9860671,711.6813888,857.1039356,655.1821774,14879.47343,20071.40975,12402.48004,11301.77636,13307.53141,13505.62772,18995.32453,14125.34592,12661.80802,10122.84037,10812.72557,12916.45469,1881.577111,1370.518848,1848.037125,1785.335066,2000.847555,2546.269741,2633.853075,2758.548246,1384.906879,1549.454676,1049.551432,1057.488434,1685.229198,1524.44599,1654.145541,1285.92355,1758.512217,1359.519153,2132.636432,2833.778942,2190.168927,2518.4188,2607.674635,2890.415586,4300.693476,2418.414141,4149.108945,2925.833016,2783.349668,3506.456472,2109.010826,1802.536245,1439.588916,748.4533065,1643.842117,1572.85456
ARGSYN_PWY,22822.0631,20280.05769,22281.94745,15322.31879,16195.35549,18667.72552,29266.54056,17797.03489,10594.27449,15724.56255,22457.90533,17795.81412,29739.98235,27200.81392,40531.88345,36796.16723,26419.64873,19982.01597,6718.776112,8475.32619,9388.382438,6402.347029,7701.392917,7727.857407,9542.304613,9291.482733,14649.81074,19617.3164,9255.02778,17256.5777,9581.229453,6688.483673,8945.967228,9148.200719,6551.183185,9541.00979,11922.67549,9530.858755,8147.270291,5501.664717,7328.021374,7626.008011,9519.304452,8276.49727,10460.58735,8917.177005,11450.55034,12663.86214,10956.82819,12313.93273,10991.6702,14094.75988,7988.898652,4164.372572,17805.67314,20532.66372,19382.85613,20832.84716,18527.25143,17505.28727,10990.91508,10181.48516,10823.59094,14109.66058,12907.95308,9263.430858,8260.788801,8490.535045,8972.3325,8093.295631,8431.789499,9873.841384,7680.632764,6917.339244,7685.222755,6515.769935,6526.06554,7350.074151,10557.13116,5616.450345,7848.434524,7332.012671,6679.189719,7032.375743,75020.76606,113228.4151,77353.47635,69267.42782,86316.99024,84210.77892,124554.1761,96562.3743,98419.40543,73190.49521,83691.87344,91093.28786,15947.14066,10910.4997,15798.65109,15352.80812,17029.82985,21006.29798,17568.11622,18961.203,13422.90961,14848.13795,11743.26683,11690.20854,13324.05074,12719.41203,13772.04969,9777.811204,12359.02447,9761.184294,15470.62491,18695.73084,15207.10146,18276.13873,19486.79845,19286.77895,19685.86877,10219.95206,17109.00218,15123.7824,17863.53944,12258.24654,17845.60236,15769.21702,15152.32869,8851.787743,16114.65362,18604.77726
ARGSYNBSUB_PWY,24758.53801,22193.94208,24313.50041,16882.6101,18212.26392,20724.66772,31835.37228,19683.59894,11760.23518,17237.35786,25410.12883,20323.64835,31358.54705,29457.29592,43086.1028,38870.09241,28851.58431,20971.56842,7446.004661,9289.667162,10196.45004,7027.961489,8445.322032,8634.399982,10363.06297,10163.70355,16997.62688,22343.726,9192.629512,19654.06036,10532.7522,7349.4031,9691.947502,9914.804349,7215.544062,10620.7582,13692.15715,10797.93275,9147.818162,6278.995346,8237.015798,8638.096911,10463.89506,8918.573098,11719.55705,9705.969306,12689.75108,13697.42761,12286.14876,13777.77919,12338.82301,15652.91736,9292.133755,5067.086717,19715.06016,22317.68823,21312.34642,23057.82206,20582.94338,19495.4899,12303.61123,11169.51282,11663.85569,15249.07866,13980.63601,10036.73181,9267.589521,9540.912411,10020.94707,9019.401147,9527.47629,11186.10437,8288.820867,7631.445174,8430.684488,7069.81402,7090.3154,8056.659531,11466.06237,5963.37432,8364.348686,7852.833423,7303.994504,7700.674334,82560.96403,126333.7839,84291.07796,76503.70221,94870.20594,92929.92034,137713.2386,106507.0164,109662.3272,79756.09111,91332.41352,99642.14096,17309.89906,11900.61849,17152.58536,16689.15972,18525.04557,22928.8355,18914.56763,20559.07751,14561.66663,16187.83279,12799.23753,12741.22543,14570.53909,13786.24275,15030.06834,10692.23338,13740.3442,10726.51543,16920.3259,20326.20335,16737.67172,20006.48137,21362.41449,20992.54507,21092.66691,10956.63864,18357.45983,16124.63552,19355.37148,13070.38825,19040.56735,17263.45404,16640.13962,10058.52659,17421.90115,20416.65833
ARO_PWY,25590.12714,23085.15054,25217.44885,17701.43309,18747.53055,21536.71656,32999.79076,20179.76794,12031.22253,17870.08578,25952.49222,20626.54952,27604.73765,30476.84596,44042.91431,40597.1788,29967.48805,18421.02621,8071.116435,10077.14943,10787.57457,7383.778853,8837.268531,9069.880226,10821.38906,10628.19984,17628.15865,23011.81554,7423.597365,21058.62134,11013.34683,7744.206888,10080.99573,10468.17127,7652.609339,11229.55061,14091.82212,11212.54502,9397.269778,6552.332647,8625.263962,8962.928477,11021.43933,9420.713415,12003.65645,10212.00086,13119.21336,14495.63667,12493.12707,14041.84373,12497.39898,15835.30941,9285.163967,5541.425297,20334.88807,22976.3016,21830.0716,23842.50054,20982.3483,19886.1699,12975.54285,11750.20847,12739.53986,16550.45241,15117.90172,10478.33534,9851.251633,10069.45595,10577.38851,9549.960237,10116.21838,11713.87037,8855.159891,8080.563038,8934.536778,7428.468528,7612.62725,8606.312258,12189.49211,6455.629688,8825.513482,8446.73088,7821.258253,8144.295036,85611.44291,128466.7696,87523.80304,79096.66647,97852.97506,95086.86958,140547.9111,108703.5036,111870.4981,82431.58447,93477.39706,101595.8044,18100.306,12376.19808,18000.49826,17556.04272,19342.64381,23927.8661,20116.24668,22031.76964,15005.35774,16819.96083,13194.8762,13126.2061,15475.66843,14592.77065,15789.91879,11291.04739,14355.56955,11265.65778,17553.33814,21145.54665,17525.96368,20911.55803,22352.32153,22059.6108,22441.14642,11510.6423,19729.38135,17799.41612,21269.63568,13648.48945,20722.87793,18524.37404,17557.97333,10362.86133,18625.89074,21645.85119
ASPASN_PWY,3747.386424,3187.8487,3161.203174,2647.324154,2508.501574,3597.511069,3221.999048,1586.571387,1246.9765,1577.053976,2705.248133,1933.846067,17972.98255,3110.439878,6270.856104,7131.762169,4953.94477,12288.8368,1141.446546,1504.84118,1918.802604,1391.821887,1044.012113,940.1392093,919.119733,1418.31407,2172.434633,2527.032907,9317.746125,2691.751149,1219.11642,716.5934253,880.040485,1229.166428,1047.994914,1329.922104,2534.427897,1858.74244,1461.987873,1235.081891,1478.065781,1517.324191,1618.749289,1583.114801,1649.817382,1420.178392,2167.249632,2360.554358,1629.262465,1977.40572,2453.112557,2583.146559,1510.995526,640.2031298,3165.493223,3499.944732,5797.193756,6828.848503,4435.511398,3773.484064,1972.946533,2352.050723,2352.522387,2417.567798,2360.209109,2505.690896,1613.788987,1394.723687,1449.922024,1381.31579,1297.652551,1749.898373,1611.227245,1544.450283,1662.694275,1809.026324,1419.666069,1790.917297,2617.761372,1821.956632,2592.243296,2398.305618,2303.992171,2399.979489,12343.95687,18248.99501,11310.75519,8906.069336,11003.34614,10982.64132,20941.45194,13791.79103,11484.2359,9435.127277,9644.767755,12943.2546,1361.58637,650.3019174,1108.251785,1064.353567,1146.338098,1272.818869,1245.944158,1587.159025,652.5969833,814.8661366,709.1027096,706.1616816,1056.508604,906.6544878,1097.296912,746.4842911,1173.153452,1076.319513,1817.604544,2450.235285,1922.656496,1798.213415,2065.213682,2334.126641,7098.343794,4304.54617,5923.916736,3970.598061,3503.412696,5255.92177,7436.392926,5590.881329,6521.438748,4238.686323,6823.779405,7976.346891
AST_PWY,52.18421296,29.27327078,56.42096125,84.91558128,12.7264664,62.95514184,54.39147891,46.63900872,4.601765961,28.56947251,17.88215904,12.53665689,907.7438046,173.4336199,746.9445213,1112.514319,440.4363384,436.3654322,41.53772443,82.8197994,51.06071759,25.99264544,50.49479216,1.124796405,73.71207016,51.21065293,103.6495853,240.4947207,54.81351087,206.6621349,37.76620044,60.65845733,92.00749738,53.92800305,49.06957894,86.5190615,77.03018403,7.863881981,18.45581056,6.264737565,25.64908426,15.66049018,44.48235401,46.05846647,53.3535363,54.37966435,111.084399,111.9510866,15.88120261,29.35521275,46.99279159,60.11016458,46.25798236,9.377269284,29.47206438,49.41486883,80.35994306,102.1239898,77.87254983,57.37796653,5.403060403,13.4914815,35.36745567,9.091206662,28.65528983,10.26224528,10.8413739,2.776753077,27.35583098,33.36911169,19.39460152,22.51156759,62.47120142,14.81813065,24.45389928,8.589771223,27.83146338,26.9184181,17.95684607,4.806994625,26.71654684,36.43919905,24.77141469,11.98375393,200.3223126,1103.887598,520.5297351,388.9094039,181.4108366,298.9164744,1603.893844,753.8024159,1000.976073,460.6945471,302.6105888,769.7032577,35.77260181,24.74011766,9.993537482,46.65058083,48.90030678,35.80210676,24.99830997,44.44493224,3.315282254,16.14180917,17.15784278,26.61410705,38.51555644,32.7395125,30.92772657,22.29628047,42.27252406,38.16538063,37.78241633,95.86468782,71.28501339,53.58299685,56.2516295,86.82343476,899.7589283,722.0044313,1028.944922,805.2637088,458.1642789,567.4738917,129.1263404,118.1395616,80.79158547,41.96881345,157.7083742,89.82603919
BENZCOA_PWY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.07014458,57.95491651,3.13860072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.965440919,13.89644722,0,0,0,0,0,0,0,0,0,13.1478581,0,0,0,0,0,0,0,0,0,0,0,8.796431079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5936695,39.99724546,0,0,0,0,0,0,0,0,0,0,0,13.74016071,21.67737938,22.14675484,0,0,0,0,0,0,0,12.10760844,8.726912105,0,11.01176351,0,17.61086651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
